1 Ліпеня в.
1 Мая в.
1-й Маскоўскай Дывізіі в.
3-га Інтэрнацыянала в.
8 Сакавіка в.
10 год БССР в.
30 год БССР в.
30 год ВЛКСМ в.
50 год БССР в.
1812 года в.
Аб’язная д.
Авіяцыйны з.
Агранамічная в.
Агранамічны з.
Адамовіча в.
Азёрная в.
Акадэмічны з.
Акружная в.
Акружны 1-ы з.
Акружны 2-і з.
Акружны 3-і з.
Акружны 4-ы з.
Акружны 5-ы з.
Акружны 6-ы з.
Акружны 7-ы з.
Акружны 8-ы з.
Алега Кашавога в.
Андрэева з.
Аранжарэйная в.
Арджанікідзэ п.
Аршанская в.
Аршанскі з.
Асаавіяхіма з.
Асіпенкі в.
Асіпенкі з.
Асіпенкі 1-ы з.
Асіпенкі 2-і з.
Асіпенкі 3-і з.
Асіпенкі 4-ы з.
Асіпенкі 5-ы з.
Асіпенкі 6-ы з.
Асіпенкі 7-ы з.
Асіпенкі 8-ы з.
Асіпенкі 9-ы з.
Астроўскага в.
Астроўскага 1-ы з.
Астроўскага 2-і з.
Астроўскага 3-і з.
Бальнічны з.
Барысаўская в.
Барысаўскі з.
Батарэйная в.
Батарэйны з.
Батурына в.
Батурына з.
Бельскага в.
Берагавая в.
Берагавы з.
Бетонная в.
Блюхера в.
Братоў Вайнрубаў в.
Брылёўская в.
Будаўнікоў в.
Бялявіна в.
Бярэзінская в.
Бярэзінская ш
Бярэзінскі з.
Вакзальная в.
Ватуціна в.
Віцебская в.
Вызвалення з.
Вясёлкавая в.
Вясёлкавы 1-ы з.
Вясёлкавы 2-і з.
Вясёлкавы 3-і з.
Газетная в.
Газетны з.
Галіцкага в.
Ганчарная в.
Гаранская в.
Гаранскі 1-ы з.
Гаранскі 2-і з.
Гастэлы в.
Гвардзейская в.
Гвардзейскі з.
Герцэна в.
Гогаля в.
Гомельская в.
Гомельскі з.
Горны з.
Грэчкі б.
Даватара в.
Далёкі з.
Данілава в.
Даўмана в.
Дачная в.
Дачны з.
Дзекабрыстаў в.
Дзёміна в.
Дзяржынскага в.
Дняпроўская в.
Дымкі в.
Дымкі з.
Жуковіча в.
Жылуновіча в.
Заводская в.
Загарадная в.
Загарадны з.
Залинейная в.
Залінейны 1-ы з.
Залінейны 2-і з.
Залінейны 3-і з.
Залінейны 4-ы з.
Залінейны 5-ы з.
Залінейны 6-ы з.
Залінейны 7-ы з.
Залінейны 8-ы з.
Залінейны 9-ы з.
Зарэчная в.
Зарэчны 1-ы з.
Зарэчны 2-і з.
Зарэчны 3-і з.
Зарэчны 4-ы з.
Заходні з.
Заходняя в.
Зоі Касмадзям’янскай в.
Зялёны Гарадок в.
Зялёны з.
Ібаруры в.
Індустрыяльная в.
Індустрыяльны 1-ы з.
Індустрыяльны 2-і з.
Індустрыяльны 3-і з.
Інкубатарная в.
Інкубатарны з.
Кавалерыйская в.
Кавалерыйскі 1-ы з.
Кавалерыйскі 2-і з.
Кавалерыйскі 3-і з.
Кавалерыйскі 4-ы з.
Кавалерыйскі 5-ы з.
Кавалеўскага в.
Кавальская в.
Калектыўная в.
Каляровая в.
Каляровы з.
Камарова б.
Камінскага в.
Камінтэрна в.
Камінтэрна з.
Камсамольская в.
Камсамольскі з.
Камунальная в.
Камунарная в.
Канстанціна Заслонава в.
Карла Лібкнехта в.
Карла Лібкнехта з.
Карла Лібкнехта 1-ы з.
Карла Лібкнехта 2-і з.
Карла Лібкнехта 3-і з.
Карла Лібкнехта 4-ы з.
Карла Лібкнехта 5-ы з.
Карла Маркса в.
Кастрычніцкая в.
Кастрычніцкі з.
Касцюшкі в.
Катоўскага в.
Кіеўская в.
Кіеўскі з.
Кутузава в.
Лагерны з.
Лагерны 2-і з.
Лагойская в.
Лазневы з.
Лапаціна в.
Ленінградская в.
Ленінская в.
Лепельскі з.
Лепельскі 2-і з.
Лермантава в.
Лермантава 1-ы з.
Лермантава 2-і з.
Лесахімічная в.
Лугавая в.
Лугавы з.
Лугавы 2-і з.
Люсі Чалоўскай в.
Лясная в.
Лясны з.
Магнітагорская в.
Магнітагорскі з.
Максіма Горкага в.
Маладзёжная в.
Маладзёжны 1-ы з.
Маладзёжны 2-і з.
Маладзёжны 3-і з.
Малая в.
Маскоўскі з.
Маставы з.
Матросава в.
Матросава з.
Меліярацыйная в.
Мінская в.
Мінскі з.
Мірная в.
Міхаіла Марозава в.
Мічурына в.
Мічурына з.
Млынавы з.
Мопраўская в.
Мопраўскі з.
Мохавы з.
Мэблевы з.
Набярэжная в.
Наватараў в.
Нахіленая в.
Новая в.
Новы з.
Някрасава з.
Пагранічная в.
Пагранічны 1-ы з.
Пагранічны 2-і з.
Падлесная в.
Падлесны 1-ы з.
Падлесны 2-і з.
Падлесны 3-і з.
Падлесны 4-ы з.
Падлесны 5-ы з.
Палескі з.
Палка Нармандыя-Нёман в.
Палявая в.
Палявы з.
Палярная в.
Панфілава в.
Панфілава 1-ы з.
Панфілава 2-і з.
Панфілава 3-і з.
Папаніна в.
Папаніна з.
Папова 1-ы з.
Папова 2-і з.
Папяровая в.
Папяровы з.
Паралельная в.
Парашутыстаў в.
Парашутыстаў з.
Паркавая в.
Партызанская в.
Паўднёва-Ўсходні 1-ы з.
Паўднёва-Ўсходні 2-і з.
Паўднёва-Ўсходні 3-і з.
Паўднёва-Ўсходні 4-ы з.
Паўднёва-Ўсходняя в.
Паўднёвая в.
Паўднёвы з.
Паўла Рака в.
Паўлава в.
Паўлава з.
Паўночная в.
Паўночны з.
Паштовая в.
Паштовы з.
Пілотаў з.
Пірагова в.
Пірагова 1-ы з.
Пірагова 2-і з.
Пірагова 3-і з.
Піянерскі з.
Планёрная в.
Планёрны з.
Правабярэжная в.
Пралетарская в.
Прафінтэрна в.
Прафінтэрна 1-ы з.
Прафінтэрна 2-і з.
Працоўная в.
Працы в.
Працы з.
Прыгарадная в.
Прышвіна в.
Прышвіна 1-ы з.
Прышвіна 2-і з.
Прышвіна 3-і з.
Пугачова в.
Пугачова з.
Пуліхава в.
Пуцейная в.
Пушкіна в.
Пушкіна з.
Пыжыкава в.
Пясчаная в.
Пятраева в.
Пятраева з.
Рабочая в.
Рабочы з.
Рабочы Хімік в.
Рачны з.
Розы Люксембург в.
Розы Люксембург з.
Рэвалюцыі п.
Рэспубліканская в.
Савецкая в.
Савецкі з.
Садовы з.
Сапёрны з.
Сасновая в.
Сацыялістычная в.
Сацыялістычны з.
Свабоды з.
Святлова в.
Смаленская в.
Смалявіцкая в.
Смірнова в.
Сонечны 1-й з.
Сонечны 2-і з.
Сонечны 3-і з.
Сонечны 4-ы з.
Спартыўны з.
Спартыўны п.
Стаханаўская в.
Стралковы з.
Студэнцкі з.
Суворава в.
Суворава з.
Сувязная в.
Супруна в.
Сцяпана Разіна в.
Сцяпана Разіна з.
Сянная в.
Сянны з.
Сяргея Лазо в.
Сяргея Лазо з.
Сярэбранікава в.
Талстога в.
Танкавы з.
Тараса Шаўчэнкі в.
Тарфяная в.
Тарфяны з.
Толсцікава в.
Транспартная в.
Трусава в.
Тургенева в.
Тургенева з.
Тургенева 2-і з.
Тургенева 3-і з.
Тухачэўскага в.
Урыцкага в.
Усходняя в.
Фабрыцыуса в.
Фабрыцыуса 1-ы з.
Фабрыцыуса 2-і з.
Фабрыцыуса 3-і з.
Фабрыцыуса 4-ы з.
Фанерная в.
Фанерны з.
Фрунзэ в.
Фрунзэ 1-ы з.
Фрунзэ 2-і з.
Хацкевіча в.
Ціміразева в.
Ціміразева 1-ы з.
Ціміразева 2-і з.
Ціхі з.
Цэнтральная п.
Чапаева в.
Чарняхоўскага в.
Чарняхоўскага з.
Чкалава в.
Чкалава 1-ы з.
Чкалава 2-і з.
Чкалава 3-і з.
Чкалава 4-ы з.
Чкалава 5-ы з.
Чкалава 6-ы з.
Чкалава 7-ы з.
Чкалава 8-ы з.
Чырванасцяжная в.
Чырванасцяжны з.
Чырвонаармейская в.
Чырвонаармейскі з.
Чырвонаслабадскі з.
Чырвоная в.
Чырвоны з.
Чэхава в.
Шашэйная в.
Шкляная в.
Школьная в.
Шміта в.
Шміта з.
Шпітальная в.
Шчорса в.
Энгельса в.
Энгельса з.
Юбілейная в.
Юрыя Гагарына в.
Юшкевіцкая в.
Юшкевіцкі 1-ы з.
Юшкевіцкі 2-і з.
Юшкевіцкі 3-і з.
Юшкевіцкі 4-ы з.
Юшкевіцкі 5-ы з.
Якуба Коласа в.
Янкі Купалы в.
Яраша в.
Ясная в.
