Дзятлавіцкі с/с
Туркоўскі с/с
Асіпавіцкі с/с
Завозерскі с/с
Козіцкі с/с
Беладубраўскі с/с
Брагінскаму раённаму Савету дэпутатаў і выканаўчаму камітэту
Запольскі с/с
Дзмітравіцкі с/с
Ружанскі пассавет
Цяхцінскі с/с
Раснянскі с/с
Падбярэзскі с/с
Лабковіцкі с/с
Вязынскі с/с
Галоўчынскі с/с
Суцінскі с/с
Кароцькаўскі с/с
Васільеўскі с/с
Петкавіцкі с/с
Хараўскі с/с
Зялёнкаўскі с/с
Путчынскі с/с
Высакоўскі с/с
Альшанскі с/с
Скрыпліцкі с/с
Пярэдзелкаўскі с/с
Рудкаўшчынскі с/с
Даўгалескі с/с
Пузыроўскі с/с
Стаўбунскі с/с
Радужскі с/с
Кляноўскі с/с
Веляшковіцкі с/с
Палыкавіцкі с/с
Пярэжырскі с/с
Цнянскі с/с
Немяржанскі с/с
Чарнянскі с/с
Шчомысліцкі с/с
Вярхоўскі с/с
Лепельскі с/с
Зубкаўскі с/с
Печышчанскі с/с
Дзям'янкаўскі с/с
Лынтупскі с/с
Навасвержанскі с/с
Мядзеневіцкі с/с
Патапаўскі с/с
Асташкавіцкі с/с
Ляжынскі с/с
Ліпскі с/с
Варацішчанскі с/с
Крупіцкі с/с
Папінскі с/с
Васілішкаўскі с/с
Пішчалаўскі с/с
Мастоцкі с/с
Верхнятошчыцкі с/с
Дубровенскі с/с
Віраўлянскі с/с
Пятровіцкі с/с
Рэчыцкі пассавет
Абчугскі с/с
Краснасельскі пассавет
Бывалькаўскі с/с
Волменскі с/с
Старадарожскі с/с
Мураванаашмянкоўскі с/с
Карабоўскі с/с
Узрэцкі с/с
Антапольскі с/с
Сяўкоўскі с/с
Маркаўскі с/с
Аздзяціцкі с/с
Капцёўскі с/с
Вяркудскі с/с
Галубіцкі с/с
Прыснянскі с/с
Галоўчыцкі с/с
Радунскі пассавет
Мікалаёўскі с/с
Рубілкаўскі с/с
Браніслаўскі с/с
Валішчанскі с/с
Начаўскі с/с
Бабіцкі с/с
Падсвільскі пассавет
Галавічпольскі с/с
Вусценскі с/с
Паськавагорацкі с/с
Пятрэвіцкі с/с
Малькавіцкі с/с
Шчорсаўскі с/с
Сідараўскі с/с
Нісімкавіцкі с/с
Агародніцкі с/с
Паўлавіцкі с/с
Квасевіцкі с/с
Лугаваслабадскі с/с
Дзітвянскі с/с
Амяльнянскі с/с
Батаеўскі с/с
Кабінагорскі с/с
Цяцерынскі с/с
Яскавіцкі с/с
Сітцаўскі с/с
Чэрыкаўскаму раённаму Савету дэпутатаў і выканаўчаму камітэту
