    горад Віцебск
    горад Новаполацк
    горад Орша
    горад Полацк
    гарадскі пасёлак Балбасава, Аршанскі гарадскі савет
    горад Барань, Аршанскі гарадскі савет
    вёска Барсукі, Аршанскі гарадскі савет
    гарадскі пасёлак Руба, Віцебскі гарадскі савет
    гарадскі пасёлак Баравуха, Наваполацкі гарадскі савет
    пасёлак Міжрэчча, Наваполацкі гарадскі савет
    гарадскі пасёлак Арэхаўск
    гарадскі пасёлак Копысь
    вёска Андрэеўшчына, Андрэеўшчынскі сельсавет
    вёска Анібалева, Андрэеўшчынскі сельсавет
    вёска Берасценава, Андрэеўшчынскі сельсавет
    вёска Вялікая Міцькаўшчына, Андрэеўшчынскі сельсавет
    вёска Кудаева, Андрэеўшчынскі сельсавет
    вёска Міцькаўшчына, Андрэеўшчынскі сельсавет
    вёска Прыдняпроўе, Андрэеўшчынскі сельсавет
    вёска Солаўе, Андрэеўшчынскі сельсавет
    вёска Брухава, Арэхаўскі сельсавет
    вёска Верацея, Арэхаўскі сельсавет
    вёска Карабішчы, Арэхаўскі сельсавет
    вёска Краснабель, Арэхаўскі сельсавет
    вёска Рагозіна, Арэхаўскі сельсавет
    вёска Халмы, Арэхаўскі сельсавет
    вёска Бабічы, Барздоўскі сельсавет
    вёска Барздоўка, Барздоўскі сельсавет
    вёска Баяры, Барздоўскі сельсавет
    вёска Браздзечына, Барздоўскі сельсавет
    вёска Будзішча, Барздоўскі сельсавет
    вёска Гараны, Барздоўскі сельсавет
    вёска Есіпава, Барздоўскі сельсавет
    вёска Загарэльскія, Барздоўскі сельсавет
    вёска Крашына, Барздоўскі сельсавет
    вёска Кушэўка, Барздоўскі сельсавет
    вёска Лявонаўка, Барздоўскі сельсавет
    вёска Макараўка, Барздоўскі сельсавет
    вёска Маркавічы, Барздоўскі сельсавет
    вёска Печышча, Барздоўскі сельсавет
    вёска Прыгузкі, Барздоўскі сельсавет
    вёска Пугляі, Барздоўскі сельсавет
    вёска Сідараўка, Барздоўскі сельсавет
    вёска Суднікі, Барздоўскі сельсавет
    вёска Турлаі, Барздоўскі сельсавет
    вёска Чурылава, Барздоўскі сельсавет
    вёска Барань, Вусценскі сельсавет
    вёска Бараўцы, Вусценскі сельсавет
    вёска Белева, Вусценскі сельсавет
    вёска Бранцава, Вусценскі сельсавет
    вёска Вусце, Вусценскі сельсавет
    вёска Вязавая, Вусценскі сельсавет
    вёска Клюшнікава, Вусценскі сельсавет
    вёска Красны Бераг, Вусценскі сельсавет
    вёска Ленькавічы, Вусценскі сельсавет
    вёска Ліпкі, Вусценскі сельсавет
    вёска Малінаўка, Вусценскі сельсавет
    вёска Марозаўка, Вусценскі сельсавет
    вёска Наваселле, Вусценскі сельсавет
    вёска Навасёлкі, Вусценскі сельсавет
    вёска Сасноўка, Вусценскі сельсавет
    вёска Селішча, Вусценскі сельсавет
    вёска Тарчылава, Вусценскі сельсавет
    вёска Хімінічы, Вусценскі сельсавет
    вёска Целянцеева, Вусценскі сельсавет
    вёска Чэрвіна, Вусценскі сельсавет
    станцыя Чэрвіна, Вусценскі сельсавет
    вёска Яромкавічы, Вусценскі сельсавет
    вёска Абухава, Высокаўскі сельсавет
    вёска Барсукі, Высокаўскі сельсавет
    вёска Вусы, Высокаўскі сельсавет
    вёска Высокае, Высокаўскі сельсавет
    пасёлак Высокае, Высокаўскі сельсавет
    вёска Вялікае Бабіна, Высокаўскі сельсавет
    вёска Грышаны, Высокаўскі сельсавет
    вёска Купёлка, Высокаўскі сельсавет
    вёска Людкаўшчына, Высокаўскі сельсавет
    вёска Малое Бабіна, Высокаўскі сельсавет
    вёска Пісаршчына, Высокаўскі сельсавет
    вёска Селішча, Высокаўскі сельсавет
    вёска Селякта, Высокаўскі сельсавет
    вёска Сядрычына, Высокаўскі сельсавет
    станцыя Хлусава, Высокаўскі сельсавет
    вёска Чапеліна, Высокаўскі сельсавет
    вёска Арлоўшчына, Забалацкі сельсавет
    вёска Горная Веравойша, Забалацкі сельсавет
    вёска Грабянёва, Забалацкі сельсавет
    вёска Даўжаніцы, Забалацкі сельсавет
    вёска Дачная, Забалацкі сельсавет
    вёска Забалацце, Забалацкі сельсавет
    вёска Зайцава, Забалацкі сельсавет
    вёска Заслонаўка, Забалацкі сельсавет
    вёска Ламачына, Забалацкі сельсавет
    вёска Ніжняя Веравойша, Забалацкі сельсавет
    вёска Новае Хорабрава, Забалацкі сельсавет
    вёска Падгайшчына, Забалацкі сельсавет
    вёска Пузырова, Забалацкі сельсавет
    вёска Стар, Забалацкі сельсавет
    вёска Старое Хорабрава, Забалацкі сельсавет
    вёска Татарск, Забалацкі сельсавет
    вёска Туравічы, Забалацкі сельсавет
    вёска Дроздава, Задроўеўскі сельсавет
    вёска Дубавое, Задроўеўскі сельсавет
    вёска Жалезнякі, Задроўеўскі сельсавет
    вёска Задроўе, Задроўеўскі сельсавет
    вёска Зайцава, Задроўеўскі сельсавет
    вёска Засеклі, Задроўеўскі сельсавет
    вёска Казлова, Задроўеўскі сельсавет
    вёска Пагост, Задроўеўскі сельсавет
    вёска Пагосцік, Задроўеўскі сельсавет
    вёска Панізоўе, Задроўеўскі сельсавет
    вёска Рагазіна, Задроўеўскі сельсавет
    вёска Роскі Сялец, Задроўеўскі сельсавет
    вёска Хлусава, Задроўеўскі сельсавет
    вёска Зубава, Зубаўскі сельсавет
    вёска Краснапольцы, Зубаўскі сельсавет
    вёска Лешча, Зубаўскі сельсавет
    вёска Ляўкі, Зубаўскі сельсавет
    вёска Садовая, Зубаўскі сельсавет
    вёска Светачоўка, Зубаўскі сельсавет
    вёска Смётанка, Зубаўскі сельсавет
    вёска Балотавічы, Зубрэвіцкі сельсавет
    вёска Барэйшава, Зубрэвіцкі сельсавет
    вёска Вярхоўе, Зубрэвіцкі сельсавет
    вёска Дзятлава, Зубрэвіцкі сельсавет
    вёска Дубраўка, Зубрэвіцкі сельсавет
    вёска Зубрэвічы, Зубрэвіцкі сельсавет
    вёска Казекі, Зубрэвіцкі сельсавет
    вёска Лісуны, Зубрэвіцкі сельсавет
    вёска Мацнава, Зубрэвіцкі сельсавет
    вёска Мезенава, Зубрэвіцкі сельсавет
    вёска Прокшына, Зубрэвіцкі сельсавет
    вёска Тумінічы, Зубрэвіцкі сельсавет
    вёска Хадулы, Зубрэвіцкі сельсавет
    вёска Хімы, Зубрэвіцкі сельсавет
    вёска Арашкі, Клюкаўскі сельсавет
    вёска Дзевіна, Клюкаўскі сельсавет
    вёска Замасточча, Клюкаўскі сельсавет
    вёска Іванькова, Клюкаўскі сельсавет
    вёска Клюкаўка, Клюкаўскі сельсавет
    вёска Лісоўскія, Клюкаўскі сельсавет
    вёска Рамальдава, Клюкаўскі сельсавет
    вёска Сармацк, Клюкаўскі сельсавет
    вёска Сафіёўка, Клюкаўскі сельсавет
    вёска Сімахі, Клюкаўскі сельсавет
    вёска Слабада, Клюкаўскі сельсавет
    вёска Старына, Клюкаўскі сельсавет
    вёска Чарняўскія, Клюкаўскі сельсавет
    вёска Барадуліна, Крапівенскі сельсавет
    вёска Брылі, Крапівенскі сельсавет
    вёска Гацькаўшчына, Крапівенскі сельсавет
    вёска Гразіўка, Крапівенскі сельсавет
    вёска Загарадная, Крапівенскі сельсавет
    вёска Згарда, Крапівенскі сельсавет
    вёска Крапіўна, Крапівенскі сельсавет
    вёска Ларынаўка, Крапівенскі сельсавет
    вёска Пашына, Крапівенскі сельсавет
    вёска Рымкі, Крапівенскі сельсавет
    вёска Савішчына, Крапівенскі сельсавет
    вёска Стахоўка, Крапівенскі сельсавет
    вёска Сяглава, Крапівенскі сельсавет
    вёска Шатравіна, Крапівенскі сельсавет
    вёска Шугайлава, Крапівенскі сельсавет
    вёска Азярок, Межаўскі сельсавет
    вёска Аланцьева, Межаўскі сельсавет
    вёска Баякоўшчына, Межаўскі сельсавет
    вёска Глінішча, Межаўскі сельсавет
    вёска Гразіна, Межаўскі сельсавет
    вёска Дубніцы, Межаўскі сельсавет
    вёска Дубраўка, Межаўскі сельсавет
