3 Верасня в.
3 Верасня з.
17 Верасня б.
50 год Перамогі в.
Аб’яднаных нацый п.
Абрыкосавая в.
Абухоўская в.
Абухоўскі 1-ы з.
Абухоўскі 3-і з.
Абухоўскі 4-ы з.
Авакяна в.
Авангардная в.
Авангардны з.
Авіяцыі в.
Агарова в.
Агародніцкая в.
Агатавы з.
Агінскага в.
Адама Шэмеша в.
Адзінцова в.
Адзінцова з.
Адоеўскага в.
Адоеўскага з.
Адэская в.
Адэскі з.
Адэскі п.
Азгура в.
Азёрная в.
Азёрны з.
Азізава в.
Азоўская в.
Азярцоўскі т.
Айвазоўскага в.
Айвазоўскага з.
Акадэміка Высоцкага в.
Акадэміка Вышалескага в.
Акадэміка Вышалескага з.
Акадэміка Жэбрака в.
Акадэміка Жэбрака з.
Акадэміка Карскага в.
Акадэміка Красіна в.
Акадэміка Купрэвіча в.
Акадэміка Курчатава в.
Акадэміка Фёдарава в.
Акадэмічная в.
Акружны п.
Акрэсціна 1-ы з.
Акрэсціна в.
Аладавых в.
Алаізы Пашкевіч в.
Алега Кашавога в.
Алейная в.
Алеся Бачылы в.
Алеся Гаруна в.
Алеся Дудара в.
Алібегава в.
Алтайская в.
Алтайскі з.
Альховая в.
Альшанская в.
Альшэўскага в.
Альшэўскага з.
Аляксандраўская в.
Амбулаторная в.
Амбулаторны з.
Амельянюка в.
Амуратарская в.
Амурская в.
Амурскі з.
Анаева в.
Ангарская в.
Ангарскі з.
Андрэеўская в.
Антонаўская в.
Антоненкі в.
Апалінар’еўская в.
Аранжарэйная в.
Аранская в.
Арджанікідзэ в.
Аркадзя Смоліча в.
Арктычная 1-я в.
Арлоўская в.
Арлоўскі 3-і з.
Арлоўскі 4-ы з.
Арлоўскі 5-ы з.
Арлоўскі 6-ы з.
Арлоўскі 7-ы з.
Арлоўскі 8-ы з.
Артылерыстаў в.
Архітэктара Заборскага в.
Арцёма 1-ы з.
Арцёма 1-ы п.
Арцёма в.
Аршанская в.
Аршанскі п.
Асаналіева в.
Асаналіева з.
Асвейская в.
Асенні 1-ы з.
Асенні 2-і з.
Асенняя в.
Асіпенка в.
Асіповіцкая в.
Астрашыцкая в.
Астрожскіх в.
Аўрораўская в.
Аўтадораўская в.
Аўтадораўскі з.
Аўтазаводская в.
Аўтазаводскі з.
Аўтамабілістаў в.
Аўэзава в.
Ахоцкая в.
Ахоцкі з.
Ашмянскі з.
Аэрадромная в.
Аэрадромны з.
Аэрафлоцкая в.
Аэрафлоцкі 1-ы з.
Бабруйская в.
Бабушкіна в.
Багранцава в.
Баграціёна 1-ы з.
Баграціёна 2-і з.
Баграціёна в.
Базісная 1-я в.
Базісная 2-я в.
Базісны з.
Байкальская в.
Бакінская в.
Балотная в.
Балотнікава в.
Балотнікава з.
Балтыйская в.
Бальнічны з.
Баляслава Берута в.
Бангалор п.
Баравецкі з.
Барадзінская в.
Барамзіной в.
Бараноўшчына в.
Барвовая в.
Барвовы з.
Басіялаўскі 1-ы з.
Басіялаўскі 2-і з.
Батанічная в.
Баторынская в.
Баторынскі з.
Беламорская в.
Беларуская в.
Бельскага в.
Бельчыцкая в.
Берасцянская в.
Берсана в.
Бетонны п.
Бехцерава в.
Бехцерава з.
Бібліятэчная в.
Бірузова в.
Брагінская в.
Брагінскі 1-ы з.
