Акцябрскі раён 	Акцябрскі 	Гомельская вобласць 	+375 2357
Аршанскі раён 	Орша 	Віцебская вобласць 	+375 216
Асіповіцкі раён 	Асіповічы 	Магілёўская вобласць 	+375 2235
Астравецкі раён 	Астравец 	Гродзенская вобласць 	+375 1591
Ашмянскі раён 	Ашмяны 	Гродзенская вобласць 	+375 1593
Бабруйскі раён 	Бабруйск 	Магілёўская вобласць 	+375 225
Баранавіцкі раён 	Баранавічы 	Брэсцкая вобласць 	+375 163
Барысаўскі раён 	Барысаў 	Мінская вобласць 	+375 1777
Бераставіцкі раён 	Вялікая Бераставіца 	Гродзенская вобласць 	+375 1511
Бешанковіцкі раён 	Бешанковічы 	Віцебская вобласць 	+375 2131
Брагінскі раён 	Брагін 	Гомельская вобласць 	+375 2344
Браслаўскі раён 	Браслаў 	Віцебская вобласць 	+375 2153
Брэсцкі раён 	Брэст 	Брэсцкая вобласць 	+375 162
Буда-Кашалёўскі раён 	Буда-Кашалёва 	Гомельская вобласць 	+375 2336
Быхаўскі раён 	Быхаў 	Магілёўская вобласць 	+375 2231
Бялыніцкі раён 	Бялынічы 	Магілёўская вобласць 	+375 2232
Бярозаўскі раён 	Бяроза 	Брэсцкая вобласць 	+375 1643
Бярэзінскі раён 	Беразіно 	Мінская вобласць 	+375 1715
Валожынскі раён 	Валожын 	Мінская вобласць 	+375 1771
Ваўкавыскі раён 	Ваўкавыск 	Гродзенская вобласць 	+375 1512
Верхнядзвінскі раён 	Верхнядзвінск 	Віцебская вобласць 	+375 2151
Веткаўскі раён 	Ветка 	Гомельская вобласць 	+375 2330
Вілейскі раён 	Вілейка 	Мінская вобласць 	+375 1771
Віцебскі раён 	Віцебск 	Віцебская вобласць 	+375 212
Воранаўскі раён 	Воранава 	Гродзенская вобласць 	+375 1594
Ганцавіцкі раён 	Ганцавічы 	Брэсцкая вобласць 	+375 1646
Гродзенскі раён 	Гродна 	Гродзенская вобласць 	+375 15
Гарадоцкі раён 	Гарадок 	Віцебская вобласць 	+375 2139
Глускі раён 	Глуск 	Магілёўская вобласць 	+375 2230
Глыбоцкі раён 	Глыбокае 	Віцебская вобласць 	+375 2156
Гомельскі раён 	Гомель 	Гомельская вобласць 	+375 232
Горацкі раён 	Горкі 	Магілёўская вобласць 	+375 2233
Дзяржынскі раён 	Дзяржынск 	Мінская вобласць 	+375 1716
Дзятлаўскі раён 	Дзятлава 	Гродзенская вобласць 	+375 1563
Добрушскі раён 	Добруш 	Гомельская вобласць 	+375 2333
Докшыцкі раён 	Докшыцы 	Віцебская вобласць 	+375 2157
Драгічынскі раён 	Драгічын 	Брэсцкая вобласць 	+375 1644
Дрыбінскі раён 	Дрыбін 	Магілёўская вобласць 	+375 2248
Дубровенскі раён 	Дуброўна 	Віцебская вобласць 	+375 2137
Ельскі раён 	Ельск 	Гомельская вобласць 	+375 2354
