1 Мая в.
17 Верасня в.
1-ы Васточны з.
8 Сакавіка в.
А.Кашавога в.
Альпяровіча в.
Анатоля Рогача в.
Асенняя в.
Асланава в.
Астроўскага в.
Багдановіча в.
Берагавы з.
Будаўнiкоў в.
Бутрымаўская в.
Бярозавы з.
В.Харужай в.
Вадап'янава в.
Валынца в.
Ведаў в.
Вілейская в.
Вішнёвы з.
Волкава в.
Вясенні з.
Вясенняя в.
Вясковая в.
Гагарына в.
Ганны Новік в.
Гарадзішчанская в.
Гарбузава з.
Гастэлы в.
Георгіеўская в.
Гідрабудаўнікоў з.
Гістарычная в.
Гістарычны з.
Гурыновіча в.
Дабравольскага в.
Даўгінаўская в.
Дзяржынскага в.
Добрай Волі в.
Дружбы в.
Жалігоўскага в.
Жоўткі в.
З.Касмадзям'янскай в.
Заазёрная в.
Зарэчная в.
Заслонава в.
Зорная в.
Зубовіча в.
Зялёная в.
Зялёны з.
Івана Лашуткі в.
Ігнація Ходзькі в.
Інтэрнацыянальная в.
Калгасны з.
Камарова в.
Камсамольская в.
Каралёва в.
Каралёва з.
Касманаўтаў в.
Касманаўтаў з.
Кастрычніцкая в.
Красіна в.
Крывіцкая в.
Крывіцкі з.
Крынiчная в.
Крынічны з.
Куранецкая в.
Л.Талстога в.
Лаўрыновіча в.
Лаўрыновіча з.
Летняя в.
Лугавы 1-ы з.
Лугавы 2-і з.
Лугавы 3-і з.
Любанская в.
Лясны з.
М.Горкага в.
М.Казея в.
Макаўе в.
Максіма Танка в.
Маладзёжная в.
Маліноўскага з.
Маркава в.
Матросава з.
Машэрава в.
Маякоўскага в.
Маякоўскага з.
Меліяратараў в.
Мірная в.
Молакава в.
Н.Каляды в.
Набярэжная в.
Набярэжны з.
Навасёлаў в.
Нарачанская в.
Нарачанскі 1-ы з.
Нарачанскі 2-і з.
Незалежнасці в.
Нікалаева в.
Новая в.
Някрасава в.
П.Купрыянава в.
Палявы 1-ы з.
Палявы 2-і з.
Палявы з.
Партызанская в.
Партызанскі з.
Пасёлак Рабочы в.
Пасёлак Рабочы з.
Пасёлак Чапаева в.
Паўночная в.
Пацаева в.
Перспектыўная в.
Піліпа Орліка в.
Піянерская в.
Пляснянская в.
Прамысловая в.
Прамысловы 1-ы з.
Прамысловы 2-і з.
Прывакзальная в.
Пушкіна в.
Пушкіна з.
Рабочая в.
Рабочы 1-ы з.
Рабочы 2-і з.
Рабочы з.
Рачны з.
Ручавая в.
Савецкая в.
Савецкі з.
Садовая в.
Сасновая в.
Сасновы 1-ы з.
Сасновы 2-і з.
Сасновы з.
Сацыялістычная в.
Свабоды в.
Свабоды п.
Севера-Западная в.
Сельская в.
Сельскі 1-ы з.
Сельскі 2-і з.
Сілівановіча в.
Слабадская в.
Слабадскі з.
Смаргонская в.
Снежкаўская в.
Снежкаўскі з.
Сонечная в.
Стаўкі в.
Стаўкі з.
Стаханаўская в.
Стаханаўскі з.
Усходні 2-і з.
Усходні з.
Усходняя в.
Фрунзэ в.
Фрунзэ з.
Хвойная в.
Цвяточная в.
Церашковай в.
Цяністая в.
Цяністы 1-ы з.
Цяністы 2-і з.
Чайкоўскага в.
Чайкоўскага з.
Чапаева в.
Чарняева з.
Чарняхоўскага в.
Чарняхоўскага з.
Чкалава в.
Чырвонаармейская в.
Шаталава в.
Школьны з.
Шубіна в.
Энергетыкаў в.
Юбілейная в.
Я.Коласа в.
Я.Купалы в.
Яблыневая в.
Ясная в.
Ясны з.
